Species,X,Y,Response
Crotalus triseriatus,-99.234841,19.180748,1
Crotalus triseriatus,-99.066769,19.110928,1
Crotalus triseriatus,-99.287979,19.270155,1
Crotalus triseriatus,-99.100199,19.132924,1
Crotalus triseriatus,-100.180893,19.412202,1
Crotalus triseriatus,-97.989705,19.243962,1
Crotalus triseriatus,-100.228062,19.605363,1
Crotalus triseriatus,-99.423132,19.310629,1
Crotalus triseriatus,-100.306549,19.681707,1
Crotalus triseriatus,-99.31793,19.272854,1
Crotalus triseriatus,-99.218324,19.179109,1
Crotalus triseriatus,-99.671488,19.434802,1
Crotalus triseriatus,-99.321519,19.040024,1
Crotalus triseriatus,-99.338218,19.073057,1
Crotalus triseriatus,-98.641766,19.33243,1
Crotalus triseriatus,-99.475536,19.585992,1
Crotalus triseriatus,-99.278039,19.083476,1
Crotalus triseriatus,-97.113454,19.614131,1
Crotalus triseriatus,-99.922167,19.101333,1
Crotalus triseriatus,-99.892282,19.201808,1
Crotalus triseriatus,-99.802385,19.143816,1
Crotalus triseriatus,-99.425215,19.632331,1
Crotalus triseriatus,-99.800919,19.357893,1
Crotalus triseriatus,-100.000441,19.248392,1
Crotalus triseriatus,-99.734294,19.167363,1
Crotalus triseriatus,-99.747609,19.200666,1
Crotalus triseriatus,-99.799459,19.349153,1
Crotalus triseriatus,-99.724083,19.230122,1
Crotalus triseriatus,-100.206159,19.57584,1
Crotalus triseriatus,-97.252637,19.078439,1
Crotalus triseriatus,-99.181118,19.086633,1
Crotalus triseriatus,-99.178723,19.087252,1
Crotalus triseriatus,-99.293689,19.037798,1
Crotalus triseriatus,-97.368833,19.091722,1
Crotalus triseriatus,-97.108639,19.616806,1
Crotalus triseriatus,-97.415444,19.130222,1
Crotalus triseriatus,-97.341444,19.088833,1
Crotalus triseriatus,-97.341444,19.088833,1
Crotalus triseriatus,-97.180444,19.528139,1
Crotalus triseriatus,-97.23364,19.67813,1
Crotalus triseriatus,-99.253449,19.26294,1
Crotalus triseriatus,-98.701172,19.207428,1
Crotalus triseriatus,-98.681658,19.29857,1
Crotalus triseriatus,-99.280805,19.217773,1
Crotalus triseriatus,-99.459661,19.272695,1
Crotalus triseriatus,-99.343556,19.07567,1
Crotalus triseriatus,-99.115955,19.132044,1
Crotalus triseriatus,-98.03703,19.180223,1
Crotalus triseriatus,-100.265855,19.518853,1
Crotalus triseriatus,-99.787317,19.7375,1
Crotalus triseriatus,-99.787317,19.7375,1
Crotalus triseriatus,-99.268062,19.225741,1
Crotalus triseriatus,-99.461161,19.271671,1
Crotalus triseriatus,-98.766069,19.340842,1
Crotalus triseriatus,-98.795888,19.390908,1
Crotalus triseriatus,-99.30325,19.221972,1
Crotalus triseriatus,-99.30325,19.221972,1
Crotalus triseriatus,-99.25312,19.29731,1
Crotalus triseriatus,-99.25083,19.22528,1
Crotalus triseriatus,-99.322472,19.252611,1
Crotalus triseriatus,-99.322472,19.252611,1
Crotalus triseriatus,-99.200038,19.089085,1
Crotalus triseriatus,-99.461161,19.271671,1
Crotalus triseriatus,-99.461161,19.271671,1
Crotalus triseriatus,-99.461161,19.271671,1
Crotalus triseriatus,-100.302056,19.539583,1
Crotalus triseriatus,-100.252556,19.548,1
Crotalus triseriatus,-100.252556,19.548139,1
Crotalus triseriatus,-100.267389,19.541972,1
Crotalus triseriatus,-100.261972,19.534444,1
Crotalus triseriatus,-100.244444,19.524722,1
Crotalus triseriatus,-100.22175,19.483639,1
Crotalus triseriatus,-98.635867,19.08423,1
Crotalus triseriatus,-100.224278,19.380722,1
Crotalus triseriatus,-100.280194,19.536722,1
Crotalus triseriatus,-100.323417,19.543472,1
Crotalus triseriatus,-100.244222,19.524778,1
Crotalus triseriatus,-100.287444,19.537972,1
Crotalus triseriatus,-100.323417,19.543472,1
Crotalus triseriatus,-100.269028,19.542722,1
Crotalus triseriatus,-100.285611,19.5425,1
Crotalus triseriatus,-100.253806,19.525167,1
Crotalus triseriatus,-100.223139,19.379806,1
Crotalus triseriatus,-100.271667,19.540833,1
Crotalus triseriatus,-100.252111,19.526889,1
Crotalus triseriatus,-100.323694,19.543139,1
Crotalus triseriatus,-100.287583,19.522556,1
Crotalus triseriatus,-100.208278,19.506389,1
Crotalus triseriatus,-100.321444,19.544472,1
Crotalus triseriatus,-100.317889,19.509194,1
Crotalus triseriatus,-100.321417,19.504389,1
Crotalus triseriatus,-100.251667,19.522222,1
Crotalus triseriatus,-100.321222,19.544472,1
Crotalus triseriatus,-100.316694,19.511333,1
Crotalus triseriatus,-100.333472,19.547361,1
Crotalus triseriatus,-100.288056,19.538056,1
Crotalus triseriatus,-100.333917,19.550333,1
Crotalus triseriatus,-100.324639,19.543194,1
Crotalus triseriatus,-99.461161,19.271671,1
Crotalus triseriatus,-99.461161,19.271671,1
Crotalus triseriatus,-99.461161,19.271671,1
Crotalus triseriatus,-97.513972,19.723306,1
Crotalus triseriatus,-97.513972,19.723306,1
Crotalus triseriatus,-99.459661,19.272695,1
Crotalus triseriatus,-99.459661,19.272695,1
Crotalus triseriatus,-99.299361,19.290917,1
Crotalus triseriatus,-99.299361,19.290917,1
Crotalus triseriatus,-99.300917,19.290778,1
Crotalus triseriatus,-99.323611,19.27025,1
Crotalus triseriatus,-99.323611,19.27025,1
Crotalus triseriatus,-99.299361,19.290917,1
